productId,productName,productUrl,sku,listPriceMax,price,image
ITNL351893,Girl Boss String Art Wall Hanging,https://www.fnp.com/canada/gift/girl-boss-string-art-wall-hanging?localityname=vancouver&pos=87,WHD_IMIGB8X5_CAN,3699.0,3699.0,https://www.fnp.com/images/pr/canada/m/v20220420124828/girl-boss-string-art-wall-hanging.jpg
ITNL338712,Hello Kitty Party Hat Chocolate Hazelnut Cake,https://www.fnp.com/canada/gift/hello-kitty-party-hat-chocolate-hazelnut-cake?localityname=vancouver&pos=88,CAN_TRCO_Hello-Kitty-Party-Hat,4799.0,4799.0,https://www.fnp.com/images/pr/canada/m/v20211210124018/hello-kitty-party-hat-chocolate-hazelnut-cake.jpg
ITNL346510,You Are Loved Mr Hamper,https://www.fnp.com/canada/gift/you-are-loved-mr-hamper?localityname=vancouver&pos=89,CAN_BAS_R10721,8849.0,8849.0,https://www.fnp.com/images/pr/canada/m/v20220225091919/you-are-loved-mr-hamper.jpg
ITNL373619,Lindt Swiss Luxury Collection,https://www.fnp.com/canada/gift/lindt-swiss-luxury-collection?localityname=vancouver&pos=90,CAN_CART_21_DW22,4449.0,4449.0,https://www.fnp.com/images/pr/canada/m/v20220930182538/lindt-swiss-luxury-collection.jpg
ITNL346536,Champalin Hamper Large,https://www.fnp.com/canada/gift/champalin-hamper-large?localityname=vancouver&pos=91,CAN_BAS_G70821,8499.0,8499.0,https://www.fnp.com/images/pr/canada/m/v20220222113509/champalin-hamper-large.jpg
ITNL351094,Multicoloured Roses Bouquet,https://www.fnp.com/canada/gift/multicoloured-roses-bouquet?localityname=vancouver&pos=92,CAN_GBF_GH45,9049.0,9049.0,https://www.fnp.com/images/pr/canada/m/v20220405124111/multicoloured-roses-bouquet.jpg
ITNL379280,Premium Sweet & Salty Gourmet Basket,https://www.fnp.com/canada/gift/premium-sweet-salty-gourmet-basket?localityname=vancouver&pos=93,CAN_GBF_XMASS22_GH23,8499.0,8499.0,https://www.fnp.com/images/pr/canada/m/v20221123133314/premium-sweet-salty-gourmet-basket.jpg
PERS-ITNL58938,Set Of 2 White Personalised Water Bottles Hand Delivery,https://www.fnp.com/canada/gift/set-of-2-white-personalised-water-bottles-hand-delivery?localityname=vancouver&pos=94,CAN_CART_CART2022091515,5449.0,5449.0,https://www.fnp.com/images/pr/canada/m/v20221101132410/set-of-2-white-personalised-water-bottles-hand-delivery.jpg
PERS-ITNL58902,Loads of Love Ferrero Rocher Box,https://www.fnp.com/canada/gift/loads-of-love-ferrero-rocher-box?localityname=vancouver&pos=95,CAN_CART_CART2022091567,3849.0,3849.0,https://www.fnp.com/images/pr/canada/m/v20221101132348/loads-of-love-ferrero-rocher-box.jpg
ITNL343161,Precious Love Red Roses Vase,https://www.fnp.com/canada/gift/precious-love-red-roses-vase?localityname=vancouver&pos=96,CAN_BLX_VAL22_LF11-60,6799.0,6799.0,https://www.fnp.com/images/pr/canada/m/v20220204134722/precious-love-red-roses-vase.jpg
ITNL343154,Mesmerising Red And Pink Flowers Bouquet,https://www.fnp.com/canada/gift/mesmerising-red-and-pink-flowers-bouquet?localityname=vancouver&pos=97,CAN_BLX_VAL22_LF22-62,7199.0,7199.0,https://www.fnp.com/images/pr/canada/m/v20220204134722/mesmerising-red-and-pink-flowers-bouquet.jpg
ITNL346191,Striking Mixed Flowers Bouquet And Lindt Chocolate,https://www.fnp.com/canada/gift/striking-mixed-flowers-bouquet-and-lindt-chocolate?localityname=vancouver&pos=98,CAN_VD22_CANCART202201_055,3699.0,3699.0,https://www.fnp.com/images/pr/canada/m/v20220208130940/striking-mixed-flowers-bouquet-and-lindt-chocolate.jpg
ITNL349742,Classic Rainbow Gerbera Bouquet,https://www.fnp.com/canada/gift/classic-rainbow-gerbera-bouquet?localityname=vancouver&pos=99,CAN_BLX_ESTR22LF16-50,6349.0,6349.0,https://www.fnp.com/images/pr/canada/m/v20220324064256/classic-rainbow-gerbera-bouquet.jpg
ITNL349766,Godiva Easter Surprise Tower,https://www.fnp.com/canada/gift/godiva-easter-surprise-tower?localityname=vancouver&pos=100,CAN_TSB_ESTR22EAST14,12999.0,12999.0,https://www.fnp.com/images/pr/canada/m/v20220324064243/godiva-easter-surprise-tower.jpg
ITNL349785,Serene White Daisies Vase,https://www.fnp.com/canada/gift/serene-white-daisies-vase?localityname=vancouver&pos=101,CAN_BLX_ESTR22LF111-42,5149.0,5149.0,https://www.fnp.com/images/pr/canada/m/v20220324064251/serene-white-daisies-vase.jpg
ITNL351041,Lucky Bamboo Plant Pot,https://www.fnp.com/canada/gift/lucky-bamboo-plant-pot?localityname=vancouver&pos=102,CAN_GBF_GH76,4249.0,4249.0,https://www.fnp.com/images/pr/canada/m/v20220405124109/lucky-bamboo-plant-pot.jpg
ITNL351048,Mixed Roses And Hydrangeas Cubical Vase,https://www.fnp.com/canada/gift/mixed-roses-and-hydrangeas-cubical-vase?localityname=vancouver&pos=103,CAN_GBF_GH59,9699.0,9699.0,https://www.fnp.com/images/pr/canada/m/v20220405124110/mixed-roses-and-hydrangeas-cubical-vase.jpg
ITNL356085,Lets Celebrate Gift Box,https://www.fnp.com/canada/gift/lets-celebrate-gift-box?localityname=vancouver&pos=104,CAN_BSKT_R11621,4699.0,4699.0,https://www.fnp.com/images/pr/canada/m/v20220610101219/lets-celebrate-gift-box.jpg
ITNL356077,Lumberjack Gift Hamper,https://www.fnp.com/canada/gift/lumberjack-gift-hamper?localityname=vancouver&pos=105,CAN_BSKT_M10621,10799.0,10799.0,https://www.fnp.com/images/pr/canada/m/v20220610101220/lumberjack-gift-hamper.jpg
ITNL377276,Assorted Chocolates Hamper,https://www.fnp.com/canada/gift/assorted-chocolates-hamper?localityname=vancouver&pos=106,CAN_CART_DW22_CH01,5799.0,5799.0,https://www.fnp.com/images/pr/canada/m/v20221018054724/assorted-chocolates-hamper.jpg
PERS-ITNL58901,Thank You Personalised Ferrero Rocher Box,https://www.fnp.com/canada/gift/thank-you-personalised-ferrero-rocher-box?localityname=vancouver&pos=107,CAN_CART_CART2022091566,3849.0,3849.0,https://www.fnp.com/images/pr/canada/m/v20221101132411/thank-you-personalised-ferrero-rocher-box.jpg
PERS-ITNL58897,Hubby Wifey Personalised Champagne Glasses,https://www.fnp.com/canada/gift/hubby-wifey-personalised-champagne-glasses?localityname=vancouver&pos=108,CAN_CART_CART2022091541,4349.0,4349.0,https://www.fnp.com/images/pr/canada/m/v20221101132347/hubby-wifey-personalised-champagne-glasses.jpg
PERS-ITNL58873,Personalised Black LED Temperature Bottle,https://www.fnp.com/canada/gift/personalised-black-led-temperature-bottle?localityname=vancouver&pos=109,CAN_CART_CART2022091614,5349.0,5349.0,https://www.fnp.com/images/pr/canada/m/v20221101132350/personalised-black-led-temperature-bottle.jpg
PERS-ITNL58548,Personalised Bottle For the Awesome,https://www.fnp.com/canada/gift/personalised-bottle-for-the-awesome?localityname=vancouver&pos=110,CAN_CART_GIFTSFNP23535_BD22,3499.0,3499.0,https://www.fnp.com/images/pr/canada/m/v20221001111829/personalised-bottle-for-the-awesome.jpg
PERS-ITNL58871,Personalised Temperature Display Black Water Bottle,https://www.fnp.com/canada/gift/personalised-temperature-display-black-water-bottle?localityname=vancouver&pos=111,CAN_CART_CART2022091612,5349.0,5349.0,https://www.fnp.com/images/pr/canada/m/v20221101132356/personalised-temperature-display-black-water-bottle.jpg
ITNL351907,Good Vibes Only Wall Hanging And 5 Badges,https://www.fnp.com/canada/gift/good-vibes-only-wall-hanging-and-5-badges?localityname=vancouver&pos=112,WHD_IMICOM14_CAN,3399.0,3399.0,https://www.fnp.com/images/pr/canada/m/v20220420124827/good-vibes-only-wall-hanging-and-5-badges.jpg
ITNL353577,Spa Day Gift Hamper,https://www.fnp.com/canada/gift/spa-day-gift-hamper?localityname=vancouver&pos=113,CAN_BSKT_MOTH22_F30321,8549.0,8549.0,https://www.fnp.com/images/pr/canada/m/v20220517110426/spa-day-gift-hamper.jpg
ITNL353555,My Oasis Gift Hamper,https://www.fnp.com/canada/gift/my-oasis-gift-hamper?localityname=vancouver&pos=114,CAN_BSKT_MOTH22_F31021,6849.0,6849.0,https://www.fnp.com/images/pr/canada/m/v20220517110425/my-oasis-gift-hamper.jpg
ITNL351884,Good Vibes Set Of 3 Frames,https://www.fnp.com/canada/gift/good-vibes-set-of-3-frames?localityname=vancouver&pos=115,WHD_IMITH_CAN,4049.0,4049.0,https://www.fnp.com/images/pr/canada/m/v20220420124827/good-vibes-set-of-3-frames.jpg
ITNL346228,Eternal Love Red Roses Bunch And Lindt Chocolate,https://www.fnp.com/canada/gift/eternal-love-red-roses-bunch-and-lindt-chocolate?localityname=vancouver&pos=116,CAN_VD22_CANCART202201_017,2199.0,2199.0,https://www.fnp.com/images/pr/canada/m/v20220208130930/eternal-love-red-roses-bunch-and-lindt-chocolate.jpg
ITNL203778,Immensely Tasty Rasmalai Cake 6 Inches,https://www.fnp.com/canada/gift/immensely-tasty-rasmalai-cake-6-inches?localityname=vancouver&pos=117,FRSTD_CK62_CAN,3249.0,3249.0,https://www.fnp.com/images/pr/canada/m/v20210521063632/immensely-tasty-rasmalai-cake-6-inches.jpg
ITNL335866,Triple Chocolate Cakehalf Kg,https://www.fnp.com/canada/gift/triple-chocolate-cakehalf-kg?localityname=vancouver&pos=118,CART_CAN_CART20211112,2349.0,2349.0,https://www.fnp.com/images/pr/canada/m/v20211116111239/triple-chocolate-cakehalf-kg.jpg
ITNL203816,Tempting Chocolate Cake 6 Inches,https://www.fnp.com/canada/gift/tempting-chocolate-cake-6-inches?localityname=vancouver&pos=119,FRSTD_CK08_CAN,2449.0,2449.0,https://www.fnp.com/images/pr/canada/m/v20210521063517/tempting-chocolate-cake-6-inches.jpg
ITNL14539,Pink Roses,https://www.fnp.com/canada/gift/pink-roses?localityname=vancouver&pos=120,BLX_FNMF024_CAN,5149.0,5149.0,https://www.fnp.com/images/pr/canada/m/v20161004134744/pink-roses.jpg
ITNL46530,Dark Chocolate Symphony,https://www.fnp.com/canada/gift/dark-chocolate-symphony?localityname=vancouver&pos=121,ECK_CK17_CAN,5249.0,5249.0,https://www.fnp.com/images/pr/canada/m/v20190708122142/dark-chocolate-symphony.jpg
ITNL203808,Chocolate Fantasy Cake 6 Inches,https://www.fnp.com/canada/gift/chocolate-fantasy-cake-6-inches?localityname=vancouver&pos=122,FRSTD_CK50_CAN,3249.0,3249.0,https://www.fnp.com/images/pr/canada/m/v20210521063550/chocolate-fantasy-cake-6-inches.jpg
ITNL46533,Double Chocolate Cake,https://www.fnp.com/canada/gift/double-chocolate-cake?localityname=vancouver&pos=123,ECK_CK18_CAN,5249.0,5249.0,https://www.fnp.com/images/pr/canada/m/v20190708122143/double-chocolate-cake.jpg
ITNL42477,One In Million Brother Combo,https://www.fnp.com/canada/gift/one-in-million-brother-combo?localityname=vancouver&pos=124,PER_GIFTSFNP2022_CAN,2849.0,2849.0,https://www.fnp.com/images/pr/canada/m/v20190403071846/one-in-million-brother-combo.jpg
ITNL203829,Flavoursome Red Velvet Cake 6 Inches,https://www.fnp.com/canada/gift/flavoursome-red-velvet-cake-6-inches?localityname=vancouver&pos=125,FRSTD_CK38_CAN,3049.0,3049.0,https://www.fnp.com/images/pr/canada/m/v20210521063625/flavoursome-red-velvet-cake-6-inches.jpg
PERS-ITNL111,Happy Bday Personalized Mug,https://www.fnp.com/canada/gift/happy-bday-personalized-mug?localityname=vancouver&pos=126,CARTPERSMUG190101_CAN,2699.0,2699.0,https://www.fnp.com/images/pr/canada/m/v20190131133908/happy-bday-personalized-mug.jpg
