name,PID,pro_url,price,image
"Panasonic 1.5 Ton (5 Star - Inverter) Split AC with Copper Condenser, Smart Sensor (CSTU18ZKYF)",23772,"Panasonic 1.5 Ton (5 Star - Inverter) Split AC with Copper Condenser, Smart Sensor (CSTU18ZKYF)",66900.0,5a464f83-9c7f-4991-8a58-5e437993228823300741.jpg
IFB 2 Ton 3 Star Split Inverter Air Conditioner (CI2432D323G1),20129,IFB 2 Ton 3 Star Split Inverter Air Conditioner (CI2432D323G1),59490.0,1348c5cb-08f2-454a-bc35-79c6316fca3522050950.jpg
"LG 1.5 Ton (5 Star - DUAL Inverter) AI 6 in 1 Convertible Split AC with Anti Virus Protection, 100% Copper, 4 Way Swing, VIRAAT Mode (RS-Q19PNZE)",23247,"LG 1.5 Ton 5 Star Split Dual Inverter Air Conditioner with Anti Virus Protection, AI Convertible 6-in-1 Cooling & ADC Sensor (RS-Q19PNZE)",75990.0,f603b70c-6b20-4379-989f-234d8d143aff23190754.jpg
"LG 1.5 Ton (5 Star - AI+ Dual Inverter) 6 in 1 AI Convertible Split Smart AC with VIRAAT Mode, 100% Copper Tubes, 4 Way Swing (RS-Q19SWZE)",23411,LG 1.5 Ton 5 Star Split DUAL Inverter Air Conditioner with ThinQ (Wi-Fi) & AI+ Convertible 6-in-1 Cooling (RS-Q19JWZE),81990.0,17a91311-09ac-438d-9b1b-93f8c79ac9b223311006.jpg
"Hitachi Yoshi 5400FXL Series 1.5 Ton (5 Star - Inverter) Split AC with ECO Mode, Copper Condenser, Hexa Sensor (RAS.G518PCAISF)",23627,"Hitachi 1.5 Ton 5 Star Inverter Split AC with Hexa Sensor, Silent Air, Ambience light (RAK.G518PCAISF, Platinum)",74100.0,69e1e5a3-1f44-4393-bd4d-1a75d336d7fd23091255.jpg
"Carrier Durawhite DXI 2 Ton (3 Star - Inverter) Split AC with Copper Condenser, PM 2.5 Filter, Filter Clean Indicator (CAS24DH3R33F0)",23669,"Carrier Durawhite DXI 2 Ton (3 Star - Inverter) Split AC with Copper Condenser, PM 2.5 Filter, Filter Clean Indicator (CAS24DH3R33F0)",81090.0,1c363355-a7c9-44c4-ba3f-e87f4ce339ad23161328.jpg
"Voltas 2 Ton (5 Star - Inverter) 4 in 1 Convertible Split AC with Turbo Cooling, 100% Copper Condenser (245V Vectra Plus)",22378,Voltas 2 Ton 5 Star Split Inverter Air Conditioner (245VECTRAPLUS2TSPL),93990.0,cedc0d16-e5f8-487a-b37c-616f60409c3122071050.jpg
"Carrier Durawhite DXI 2 Ton (5 Star - Inverter) Split AC with Copper Condenser, PM 2.5 Filter, Flexicool (6 in 1) (CAI24DH5R33F0)",23667,"Carrier Durawhite DXI 2 Ton (5 Star - Inverter) Split AC with Copper Condenser, PM 2.5 Filter, Flexicool (6 in 1) (CAI24DH5R33F0)",91090.0,e4052c23-64a0-4d87-9511-de70c88c9ace23161300.jpg
"Daikin Standard Series 1.8 Ton (5 Star - Inverter) Split AC with 3D Airflow,  Copper Condenser, PM 2.5 Filter (FTKM60UV)",19892,Daikin 1.8 Ton 5 Star Split Inverter Air Conditioner (FTKM60UV),83900.0,3b1a80d9-0c53-4581-b9ff-aa6cd98b531b22121137.jpg
"Mitsubishi Electric GR Series 1.5 Ton (5 Star - Inverter) Split AC with Auto Restart, Fast Cooling, Sleep Mode (MSY-GR18VF)",23620,"Mitsubishi Electric 1.5 Ton 5 Star Split Inverter Air Conditioner with Auto Restart, Fast Cooling, Sleep Mode (MSYGR18VF)",72000.0,239bd2cf-4e6b-4263-9c8a-6fd8d0ac0eb223041046.jpg
