name,PID,pro_url,price,image
"OGeneral CET Series 2 Ton (5 Star - Inverter) Split AC with Double Swing Automatic 3D Airflow, PM 2.5 Filter, Copper Condenser (ASGG30CETA-B)",21911,Ogeneral 2.5 Ton 4 Star Split Inverter Air Conditioner (ASGG30CETA-B-4S),112630.0,9b1d0104-24ea-4966-908b-9e2e0376286a22011258.jpg
"OGeneral CLW Series Tropical Inverter 1.8 Ton (4 Star - Inverter) Split AC with Coanda Airflow, Powerful Mode, Tropical Product Design (ASGA22CLWA-B)",19732,Ogeneral 1.8 Ton 4 Star Split Inverter Air Conditioner (ASGA22CLWA-B),71580.0,7b652bc2-e2ad-415d-972e-ed6c5e3ec39622311300.jpg
"OGeneral BAW Series 1.7 Ton (3 Star) Efficient and Tropical Window AC with Wide Airflow, Super Wave Technology (AXGB24BAWA-B)",21882,Ogeneral 2 Ton 3 Star Window AIr Conditioner (AXGB24BAWA-B-3S),54740.0,a552284d-dedf-449d-ad35-9fc12114bf1e22311103.jpg
"OGeneral BMW Series 1.5 Ton (3 Star) Split AC with Higher Moisture Removal Rate, Removal Rate, 4 Speed Fan Control, Coanda Airflow (ASGA18BMWA-B)",18026,Ogeneral 1.5 Ton 3 Star Split Air Conditioner (ASGA18BMWA-B),58940.0,73c53925-50dc-4817-b463-60256107ed7721021047.jpg
"OGeneral BMW Series 2 Ton (3 Star) Split AC with Higher Moisture Removal Rate, Removal Rate, 4 Speed Fan Control, Coanda Airflow (ASGA24BMWA-B)",18233,Ogeneral 2 Ton 3 Star Split Air Conditioner (ASGA24BMWA-B),74740.0,4ab15f93-f6c6-4ec6-b91d-c5eac993778021301300.jpg
Blue Star 1 Ton 3 Star Window Air Conditioner (WFB312LN),21839,Blue Star 1 Ton 3 Star Window Air Conditioner (WFB312LN),33000.0,d161368c-687d-4ab7-93e5-af47696385be22291222.jpg
"Godrej 1 Ton (3 Star - Inverter) 5 in 1 Convertible Split AC with Active Carbon Filter, 100% Copper Condenser, Silent Operation (SIC 12TTC3-WWA)",22670,Godrej 1 Ton 3 Star Split Inverter Air Conditioner (SIC12TTC3-W),41900.0,4ddec474-50b7-44fd-b65d-75a51d6495eb23140523.jpg
Amstrad 1 Ton 3 Star Split Inverter Air Conditioner with Silent Operation & Accurate Sense Technology  (AM133SAI),23250,Amstrad 1 Ton 3 Star Split Inverter Air Conditioner with Silent Operation & Accurate Sense Technology  (AM133SAI),59990.0,daf6ae17-a176-46ce-a38a-e775dce0cdda23251243.jpg
"Daikin Standard Series 1 Ton (3 Star) Split AC with Copper Condenser, PM 2.5 Filter, Coanda Airflow (FTL35UV)",19490,Daikin 1 Ton 3 Star Split Air Conditioner (FTL35UV),46000.0,f1551234-9395-4433-8039-8f6793b06db122100814.jpg
"Daikin Standard Plus Series 1 Ton (3 Star - Inverter) Split AC with 3D Airflow, Copper Condenser, Power Airflow Dual Flaps (ATKL35UV)",21036,Daikin 1 Ton 3 Star Split Inverter Air Conditioner (ATKL35UV-3S),48200.0,cb46d45e-5f7d-4bd2-96e2-dfad6c9eb20723251125.jpg
"OGeneral BAW Series 1.1 Ton (4 Star) Efficient and Tropical Window AC with Wide Airflow, Super Wave Technology (AFGB12BAWA-B)",21894,Ogeneral 1.1 Ton 4 Star Window Air Conditioner (AFGB12BAWA-B-4S),36840.0,147d299b-8966-4b2e-9916-629efd49fa3022011025.jpg
Amstrad 1.5 Ton 3 Star Split Inverter Air Conditioner with Silent Operation & Accurate Sense Technology (AM203SAI),23251,Amstrad 1.5 Ton 3 Star Split Inverter Air Conditioner with Silent Operation & Accurate Sense Technology (AM203SAI),66990.0,e74c746b-4eaa-472f-a281-55187fbff02f23251243.jpg
