product_link,product_Name,price,list_price,discount_price,image
https://www.reliancedigital.in/philips-spa4040b-94-45-watts-5-1-channel-multimedia-speaker/p/491282324,Philips SPA4040B/94 45 watts 5.1 channel Multimedia Speaker,"₹,4,990.00","₹,8,190.00","39%(₹3,200)",https://www.reliancedigital.in/medias/f3f3a79a-3821-4d60-82ea-95cd13e9900a-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyNDU3OHxpbWFnZS9qcGVnfGltYWdlcy9oYzgvaGNlLzg4MDk0MTg5ODE0MDYuanBnfGRmODBiYjg5NzViYzE4ZGE4ZjBhODhmYjVhYTJkMjY2MzkxMzQzZmI5YjY3ZGRhZjk4NWVhYTk5ZWNlZGJjYTI
https://www.reliancedigital.in/bose-soundlink-revolve-wireless-bluetooth-speaker-with-mic-black/p/491336140,"Bose Soundlink Revolve Wireless Bluetooth Speaker with Mic, Black","₹,19,900.00",,,https://www.reliancedigital.in/medias/Bose-SoundLink-Revolve-Bluetooth-Multimedia-Speaker-Triple-Black-491336140-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w0NTYyM3xpbWFnZS9qcGVnfGltYWdlcy9oNDMvaGIwLzg5Mjg1MTY3MDIyMzguanBnfDVkNzliYzZkZTg5OTNiZjExZTVlYTU5MTU2YjRmN2EwODQyM2QzOTNjMzMxN2FiYjdjZDIzNjVlNDEwNGFlYzI
https://www.reliancedigital.in/zoook-zb-rocker-armor-xl-portable-bluetooth-multimedia-speaker-black/p/491315700,"Zoook ZB-Rocker Armor XL Portable Bluetooth Multimedia Speaker, Black","₹,1,499.00","₹,5,499.00","73%(₹4,000)",https://www.reliancedigital.in/medias/Zoook-ZB-Rocker-Armor-XL-Portable-Bluetooth-Multimedia-Speaker-Black-491315700-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyNzE2NXxpbWFnZS9qcGVnfGltYWdlcy9oZjUvaDNjLzg5NjI4NzQzNzYyMjIuanBnfDY1YWU5NGFmMTg5ZjE0N2FhZWYyZGVjZWEwODg4YTY4YTkwMDgzNDViYzY4NmYyYWJmYTdlZmE5YzU2ZTI4YWI
https://www.reliancedigital.in/lg-ph1-bluetooth-multimedia-speaker/p/491295642,LG PH1 Bluetooth Multimedia Speaker,"₹,2,790.00","₹,4,490.00","38%(₹1,700)",https://www.reliancedigital.in/medias/LG-PH1-Bluetooth-Multimedia-Speaker-491295642-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w0MTI3OHxpbWFnZS9qcGVnfGltYWdlcy9oZGEvaGJlLzg5Mjg3Mjc0NjYwMTQuanBnfDE1MWU0OGI4ZWI2MzJlZGYzMjE5NTJmMjU4NDFlYzdjNjFlOTAzNjhhNTQyZjQ3ZDY1YTcyMzM2ZDYyMzJkMzE
https://www.reliancedigital.in/reconnect-muse-rabsb8001-2-channel-portable-multimedia-speaker-gold/p/491228828,"Reconnect MUSE RABSB8001 2 channel Portable Multimedia Speaker, Gold","₹,399.00","₹,3,999.00","90%(₹3,600)",https://www.reliancedigital.in/medias/Reconnect-MUSE-RABSB8001-2-channel-Portable-Multimedia-Speaker-Gold-491228828-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMTM4NnxpbWFnZS9qcGVnfGltYWdlcy9oY2UvaGVlLzg5NjI5Mjc3ODgwNjIuanBnfDJiODg5M2NjMDBkNzg5M2Y3OTNhZTQxNWRiN2VmNjZmYjY4NjEyMjZiYmU3NGI3MTRkM2MwZGIyNGY5MmEwYzc
https://www.reliancedigital.in/philips-spa8000b-94-120-watts-5-1-channel-multimedia-speaker/p/491295708,Philips SPA8000B/94 120 watts 5.1 channel Multimedia Speaker,"₹,9,490.00","₹,13,490.00","30%(₹4,000)",https://www.reliancedigital.in/medias/Philips-SPA8000B-94-5.1-channel-Multimedia-Speaker-491295708-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxODI2OHxpbWFnZS9qcGVnfGltYWdlcy9oZjkvaGQ0Lzg5NjI4NjY4Mzk1ODIuanBnfDE5NTU3MGRiNmFjYTIxYWE2MDBkOGZiOWRmZDI2MmMxNzNjY2Y3ZGJjNzFjZDJlMjc4NjIwZmU2MDBkZjdiMGI
https://www.reliancedigital.in/reconnect-rabsb3001-multimedia-speaker/p/491099282,Reconnect RABSB3001 Multimedia Speaker,"₹,2,079.00","₹,5,999.00","65%(₹3,920)",https://www.reliancedigital.in/medias/Reconnect-RABSB3001-Multimedia-Speaker-491099282-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wzMTYxNXxpbWFnZS9wbmd8aW1hZ2VzL2hjYy9oMzIvODkyODYxNzk1NTM1OC5wbmd8YmIwYWY4ZjZkMDY2ZDNiNGY0MzY4NmI5NGM3YzJlMDE3ZDM3YzZmYjNjNjcxZmU5NTRiNDQyMWNhYWM3NGE1Yg
https://www.reliancedigital.in/logitech-x50-portable-bluetooth-multimedia-speaker-grey/p/491216735,"Logitech X50 Portable Bluetooth Multimedia Speaker, Grey","₹,799.00","₹,2,495.00","68%(₹1,696)",https://www.reliancedigital.in/medias/Logitech-X50-Portable-Bluetooth-Multimedia-Speaker-Grey-491216735-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wzNDkwNHxpbWFnZS9qcGVnfGltYWdlcy9oOWUvaGRkLzg5Mjg1MzA3OTI0NzguanBnfDEyMTA1Zjg3M2MzYmI2MmE4OWU4NTllN2M0ZDE5MzM1ZTY2Yjk0NjA1ZWQ1ODNiZGUwNzVkZjg2MDBkOTQyZjI
https://www.reliancedigital.in/philips-bt4200-94-wireless-portable-multimedia-speaker/p/491182250,Philips BT4200/94 Wireless Portable Multimedia Speaker,"₹,1,999.00","₹,3,499.00","43%(₹1,500)",https://www.reliancedigital.in/medias/Philips-BT4200-94-Wireless-Portable-Multimedia-Speaker-491182250-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wzODg2MXxpbWFnZS9wbmd8aW1hZ2VzL2g5Yy9oMTIvODkyODY4MjU3Mzg1NC5wbmd8Y2MxMjI3NmMzMWExMGFlNzgxZjliMDA1NzY5ZWIyZWU5ZGQzNWU4Y2Q4MTdjOTFmZGRjZGU0NmYyNmRhYmI5Mg
https://www.reliancedigital.in/marshall-stanmore-ii-bluetooth-speaker-bluetooth-v5-0-qualcomm-aptx-wireless-connectivity-two-15-watt-class-d-amplifiers-multi-host-functionality-black/p/491694741,"MARSHALL STANMORE II Bluetooth Speaker, Bluetooth v5.0, Qualcomm aptX wireless connectivity, Two 15 Watt Class D amplifiers, Multi-host functionality, Black","₹,29,999.00","₹,39,999.00","25%(₹10,000)",https://www.reliancedigital.in/medias/Marshall-BT-Speaker-Stanmore-II-Black-Computer-Speakers-491694741-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w2ODg0OXxpbWFnZS9qcGVnfGltYWdlcy9oNjIvaDBhLzkzMzI4ODM2ODU0MDYuanBnfGYwNjI2MzBkZjYwMGI4NzFjMzM2NDMwMjM2NGM3NGQ3N2UzMjc0YTU1MTY3ODlmZWVmODJhNGM2OWFhMDBmNzI
https://www.reliancedigital.in/marshall-kilburn-ii-bluetooth-speaker-more-than-20-hrs-of-playtime-upto-30-feet-range-bluetooth-5-0-aptx-technology-ipx2-water-resistant-powered-by-36-watts-black/p/491694739,"Marshall Kilburn II Bluetooth Speaker, More than 20 hrs of playtime,  Upto 30 feet range, Bluetooth 5.0 aptX technology, IPX2 water-resistant, Powered by 36 Watts, Black","₹,29,999.00","₹,31,999.00","6%(₹2,000)",https://www.reliancedigital.in/medias/MARSHALL-CAVENDISH-MS-KLBN2-BLK-Computer-Speakers-491694739-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w3OTA1N3xpbWFnZS9qcGVnfGltYWdlcy9oNGYvaDAwLzkyNzU3MDc1ODg2MzguanBnfDU5ZGQ5NTFmZjM0ODY2NmVmMTYyNzQ2MGU2Yzk0NzRmYzdmZjcwZGNlOGEzYzU5M2JjNjdmM2Q2NzhkOTZiYzk
