product_link,product_Name,price,list_price,discount_price,image
https://www.reliancedigital.in/panasonic-sc-ht250gw-k-2-1-channel-speaker-with-bluetooth-connectivity-black/p/493285580,"Panasonic SC-HT250GW-K 2.1 Channel Speaker with Bluetooth Connectivity, Black","₹,5,990.00","₹,7,490.00","20%(₹1,500)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/panasonic-sc-sc-ht260gw-kgw-k-2-1-channel-speaker-with-convertible-soundbar-black/p/493285581,"Panasonic SC-SC-HT260GW-KGW-K 2.1 Channel Speaker with Convertible Soundbar, Black","₹,7,940.00","₹,9,990.00","21%(₹2,050)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/panasonic-sc-ht460gw-k-4-1-channel-speaker-with-bluetooth-connectivity-black/p/493285582,"Panasonic SC-HT460GW-K 4.1 Channel Speaker with Bluetooth Connectivity, Black","₹,7,299.00","₹,10,590.00","31%(₹3,291)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/boat-partypal-208-party-speaker-with-mic-for-karaoke-bass-dynamic-captivating-led-s-black/p/493072601,"Boat Partypal 208 Party Speaker with Mic for Karaoke, Bass, Dynamic Captivating LED's, Black","₹,9,499.00","₹,19,990.00","52%(₹10,491)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/marshall-emberton-2-bluetooth-wireless-speaker-with-30-hour-playtime-ip65-rated-design-black-and-brass-/p/493285633,"Marshall EMBERTON 2 Bluetooth Wireless Speaker with 30+ hour playtime, IP65 Rated Design (Black and Brass)","₹,17,399.00","₹,19,999.00","13%(₹2,600)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/apple-homepod-2nd-generation-intelligent-assistant-and-voice-recognition-temperature-and-humidity-sensor-high-excursion-woofer-white/p/493666920,"Apple HomePod (2nd Generation), Intelligent Assistant and Voice Recognition, Temperature and Humidity Sensor, High-excursion Woofer, White","₹,32,900.00",,,https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/apple-homepod-2nd-generation-intelligent-assistant-and-voice-recognition-temperature-and-humidity-sensor-high-excursion-woofer-midnight/p/493666919,"Apple HomePod (2nd Generation), Intelligent Assistant and Voice Recognition, Temperature and Humidity Sensor, High-excursion Woofer, Midnight","₹,32,900.00",,,https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/reconnect-mono-multimedia-speaker-black/p/491183502,"Reconnect Mono Multimedia Speaker, Black","₹,199.00","₹,1,699.00","88%(₹1,500)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/reconnect-mono-multimedia-speaker-white/p/491183440,"Reconnect Mono Multimedia Speaker, White","₹,199.00","₹,1,699.00","88%(₹1,500)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/altec-lansing-imw257-mini-h2o-bluetooth-multimedia-speaker-blue/p/491229636,"Altec Lansing iMW257 Mini H2O Bluetooth Multimedia Speaker, Blue","₹,1,200.00","₹,3,600.00","67%(₹2,400)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/jbl-flip-ii-wireless-portable-multimedia-speaker/p/491099105,JBL Flip II Wireless Portable Multimedia Speaker,"₹,6,109.00","₹,7,990.00","24%(₹1,881)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/marshall-acton-ii-bluetooth-speaker-balanced-powerful-audio-experience-3-class-d-amplifiers-wireless-sound-at-a-range-of-up-to-30-feet-white/p/491694738,"Marshall Acton II Bluetooth Speaker, Balanced, powerful audio experience, 3 class D amplifiers, Wireless sound at a range of up to 30 feet, White","₹,24,999.00","₹,29,999.00","17%(₹5,000)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/marshall-stockwell-ii-bluetooth-speaker-black/p/491694748,"Marshall Stockwell II Bluetooth Speaker, Black","₹,21,999.00","₹,24,999.00","12%(₹3,000)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/philips-mms-4545-b-2-1-channel-multimedia-speaker/p/491228911,Philips MMS 4545 B 2.1 channel Multimedia Speaker,"₹,3,499.00","₹,4,390.00",20%(₹891),https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
https://www.reliancedigital.in/philips-spa4040b-94-45-watts-5-1-channel-multimedia-speaker/p/491282324,Philips SPA4040B/94 45 watts 5.1 channel Multimedia Speaker,"₹,4,990.00","₹,8,190.00","39%(₹3,200)",https://www.reliancedigital.in/build/client/images/loaders/mdefault.png
